"index","accuracy","auc","precision","recall","f1","Test"
"1","0.742692939244663","0.624242424242424","0.834516290726817","0.834199134199134","0.832273430149916","Type: C-classification Kernel: linear"
"2","0.778708264915161","0.5","0.778708264915161","1","0.875549019607843","Type: C-classification Kernel: polynomial"
"3","0.800401386608283","0.562121212121212","0.801011887218784","0.990909090909091","0.885626165359761","Type: C-classification Kernel: radial"
"4","0.813929939792009","0.636580086580087","0.833571658615137","0.954112554112554","0.889107717092387","Type: C-classification Kernel: sigmoid"
"5","0.749662470352126","0.639393939393939","0.843030303030303","0.835930735930736","0.837950937950938","Type: nu-classification Kernel: linear"
"6","0.828571428571429","0.638528138528139","0.832181345224823","0.981818181818182","0.899761904761905","Type: nu-classification Kernel: polynomial"
"7","0.820826491516147","0.711255411255411","0.868167701863354","0.908225108225108","0.887222273289007","Type: nu-classification Kernel: radial"
"8","0.407142857142857","0.408008658008658","0.676363008971705","0.401731601731602","0.465796703296703","Type: nu-classification Kernel: sigmoid"
"9","0.514313081554461","0.492424242424242","0.766375242404654","0.532467532467532","0.627101086048454","Type: one-classification Kernel: linear"
"10","0.257288815909506","0.453030303030303","0.713333333333333","0.101298701298701","0.173174780131302","Type: one-classification Kernel: polynomial"
"11","0.557142857142857","0.502597402597403","0.785772736895028","0.595670995670996","0.675428354021573","Type: one-classification Kernel: radial"
"12","0.714285714285714","0.519047619047619","0.788201518288475","0.871428571428572","0.825983187572586","Type: one-classification Kernel: sigmoid"
